1,0.013014631,0,0,0.01859233,0.050199291,0,0,0.017352841,0,0.054537502,0,0,0,0
2,0.148738641,0.887473893,1.360958567,0.164851994,0.164851994,0.123329123,0.126427845,0.122089635,0.127667334,0.124568612,0.125188356,0.122089635,0.157415062,0.125188356
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.904826734,0.81000585,1.893318954,0.83851409,1.343605726,0.778398889,0.81992176,0.825499459,0.754848604,0.816823038,0.733777297,0.735016785,0.774680423,0.863923608
5,0.391058678,0.380523024,0.344577852,0.34705683,0.343338363,0.14997813,0.343338363,0.226206684,0.287561373,0.218150007,0.262151855,0.218150007,0.169809949,0.143780687
6,0.024170029,0.022930541,0.049579547,0.086144463,0.081186508,0.023550285,0.024789774,0.024170029,0.022310796,0.023550285,0.024789774,0.023550285,0.023550285,0.029747728
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.297477282,0.234883104,0.290660095,1.664013549,2.881191429,0.33714092,1.969547507,0.420806406,1.214698903,0.39849561,0.562108115,0.424524872,0.324746033,0.487738794
9,1.860472504,1.860472504,0.678000306,0.577601723,0.384861234,0.508190357,0.334042198,0.495175726,0.27144802,0.363789927,0.400354843,0.423285383,0.400354843,0.762285536
10,1.209740949,0.572643769,2.729354066,2.756622817,2.600447244,2.620279063,2.32280178,2.684732474,1.306421065,1.440285842,1.856754038,0.607349452,0.612307406,2.41700292
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
