1,0.021,0,0,0.03,0.081,0,0,0.028,0,0.088,0,0,0,0
2,0.24,1.432,2.196,0.266,0.266,0.199,0.204,0.197,0.206,0.201,0.202,0.197,0.254,0.202
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.46,1.307,3.055,1.353,2.168,1.256,1.323,1.332,1.218,1.318,1.184,1.186,1.25,1.394
5,0.631,0.614,0.556,0.56,0.554,0.242,0.554,0.365,0.464,0.352,0.423,0.352,0.274,0.232
6,0.039,0.037,0.08,0.139,0.131,0.038,0.04,0.039,0.036,0.038,0.04,0.038,0.038,0.048
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.48,0.379,0.469,2.685,4.649,0.544,3.178,0.679,1.96,0.643,0.907,0.685,0.524,0.787
9,3.002,3.002,1.094,0.932,0.621,0.82,0.539,0.799,0.438,0.587,0.646,0.683,0.646,1.23
10,1.952,0.924,4.404,4.448,4.196,4.228,3.748,4.332,2.108,2.324,2.996,0.98,0.988,3.9
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
